canonical_line_id,observation_id
CLINE_0470,OBS_000700
CLINE_0471,OBS_000697
CLINE_0472,OBS_000701
CLINE_0473,OBS_000694
CLINE_0474,OBS_000698
CLINE_0475,OBS_000699
CLINE_0476,OBS_000702
CLINE_0477,OBS_000710
CLINE_0478,OBS_000706
CLINE_0479,OBS_000711
CLINE_0480,OBS_000708
CLINE_0481,OBS_000703
CLINE_0482,OBS_000709
CLINE_0483,OBS_000704
CLINE_0484,OBS_000705
CLINE_0485,OBS_000707
CLINE_0486,OBS_000712
CLINE_0487,OBS_000714
CLINE_0488,OBS_000713
CLINE_0489,OBS_000715
CLINE_0490,OBS_000716
CLINE_0491,OBS_000717
CLINE_0492,OBS_000718
CLINE_0493,OBS_000720
CLINE_0494,OBS_000721
CLINE_0495,OBS_000719
CLINE_0496,OBS_000725
CLINE_0496,OBS_000727
CLINE_0497,OBS_000724
CLINE_0497,OBS_000728
CLINE_0498,OBS_000723
CLINE_0499,OBS_000726
CLINE_0500,OBS_000722
CLINE_0501,OBS_000730
CLINE_0502,OBS_000729
CLINE_0503,OBS_000731
CLINE_0504,OBS_000732
CLINE_0504,OBS_000733
CLINE_0505,OBS_000736
CLINE_0505,OBS_000738
CLINE_0505,OBS_000741
CLINE_0505,OBS_000743
CLINE_0505,OBS_000744
CLINE_0506,OBS_000739
CLINE_0507,OBS_000742
CLINE_0508,OBS_000735
CLINE_0509,OBS_000734
CLINE_0510,OBS_000737
CLINE_0511,OBS_000740
CLINE_0512,OBS_000750
CLINE_0513,OBS_000745
CLINE_0514,OBS_000749
CLINE_0515,OBS_000747
CLINE_0516,OBS_000746
CLINE_0517,OBS_000748
CLINE_0518,OBS_000751
CLINE_0519,OBS_000752
CLINE_0520,OBS_000753
CLINE_0521,OBS_000762
CLINE_0522,OBS_000761
CLINE_0523,OBS_000758
CLINE_0524,OBS_000754
CLINE_0524,OBS_000756
CLINE_0525,OBS_000755
CLINE_0526,OBS_000759
CLINE_0527,OBS_000757
CLINE_0528,OBS_000760
CLINE_0529,OBS_000777
CLINE_0530,OBS_000775
CLINE_0531,OBS_000774
CLINE_0532,OBS_000773
CLINE_0533,OBS_000778
CLINE_0534,OBS_000772
CLINE_0535,OBS_000779
CLINE_0536,OBS_000776
CLINE_0537,OBS_000770
CLINE_0538,OBS_000769
CLINE_0539,OBS_000764
CLINE_0540,OBS_000771
CLINE_0541,OBS_000768
CLINE_0542,OBS_000765
CLINE_0543,OBS_000766
CLINE_0544,OBS_000767
CLINE_0545,OBS_000763
CLINE_0546,OBS_000785
CLINE_0547,OBS_000783
CLINE_0548,OBS_000784
CLINE_0549,OBS_000781
CLINE_0550,OBS_000780
CLINE_0551,OBS_000782
CLINE_0552,OBS_000787
CLINE_0553,OBS_000788
CLINE_0554,OBS_000792
CLINE_0555,OBS_000789
CLINE_0556,OBS_000786
CLINE_0556,OBS_000790
CLINE_0557,OBS_000791
CLINE_0558,OBS_000793
CLINE_0559,OBS_000794
CLINE_0560,OBS_000797
CLINE_0561,OBS_000798
CLINE_0562,OBS_000799
CLINE_0563,OBS_000795
CLINE_0564,OBS_000796
CLINE_0565,OBS_000801
CLINE_0566,OBS_000802
CLINE_0567,OBS_000800
CLINE_0568,OBS_000804
CLINE_0569,OBS_000805
CLINE_0570,OBS_000806
CLINE_0571,OBS_000803
CLINE_0572,OBS_000810
CLINE_0573,OBS_000807
CLINE_0574,OBS_000811
CLINE_0575,OBS_000808
CLINE_0576,OBS_000809
CLINE_0577,OBS_000812
CLINE_0578,OBS_000813
CLINE_0579,OBS_000814
CLINE_0580,OBS_000816
CLINE_0581,OBS_000815
CLINE_0582,OBS_000821
CLINE_0583,OBS_000818
CLINE_0584,OBS_000817
CLINE_0585,OBS_000820
CLINE_0586,OBS_000819
CLINE_0587,OBS_000825
CLINE_0588,OBS_000827
CLINE_0589,OBS_000826
CLINE_0590,OBS_000824
CLINE_0591,OBS_000823
CLINE_0592,OBS_000822
CLINE_0593,OBS_000838
CLINE_0593,OBS_000841
CLINE_0594,OBS_000840
CLINE_0595,OBS_000844
CLINE_0596,OBS_000843
CLINE_0597,OBS_000839
CLINE_0598,OBS_000829
CLINE_0599,OBS_000836
CLINE_0600,OBS_000828
CLINE_0601,OBS_000833
CLINE_0601,OBS_000834
CLINE_0601,OBS_000835
CLINE_0602,OBS_000830
CLINE_0603,OBS_000831
CLINE_0604,OBS_000832
CLINE_0605,OBS_000842
CLINE_0606,OBS_000837
CLINE_0607,OBS_000845
