cluster_id,sequence_id,sequence,line_frequency,sequence_length,artifacts,artifact_count
CL_108,SEQ_1177,DU RI TE,1,3,HT 4,1
CL_289,SEQ_1178,DU RU WI[,1,3,HT 25,1
CL_290,SEQ_1179,DU SU NI,1,3,HT 108,1
CL_291,SEQ_118,GRA QE,3,2,"HT 101,HT 18,HT 28",3
CL_292,SEQ_1180,DU ZU WA,1,3,HT 36,1
CL_019,SEQ_1181,E NA SI,1,3,KH 7,1
CL_293,SEQ_1182,E TO RI,1,3,ZA 11,1
CL_023,SEQ_1183,GRA OVIS F,1,3,HT 82,1
CL_294,SEQ_1184,I DU TI,1,3,HT 104,1
CL_029,SEQ_1185,I GRA *22M,1,3,HT 115,1
CL_024,SEQ_1186,I KI RA,1,3,HT 25,1
CL_109,SEQ_1187,I KU PI[,1,3,KH 18,1
CL_109,SEQ_1188,I KU TA,1,3,HT 35,1
CL_295,SEQ_1189,I NA WA,1,3,PH 6,1
CL_024,SEQ_119,KI RA,3,2,"HT 103,HT7,ZA 8",3
CL_002,SEQ_1190,I RU JA,1,3,HT 7,1
CL_002,SEQ_1191,I TA JA,1,3,HT 28,1
CL_045,SEQ_1192,I [?] GRA,1,3,HT 96,1
CL_296,SEQ_1193,JA KI PA3[,1,3,PH 28,1
CL_110,SEQ_1194,JA KU TI,1,3,KN 1,1
CL_297,SEQ_1195,JA RE MI,1,3,HT 87,1
CL_298,SEQ_1196,JA SA MU,1,3,ZA 15,1
CL_299,SEQ_1197,JA TO JA[,1,3,ZA 4,1
CL_300,SEQ_1198,JU TE MI[,1,3,ZA 6,1
CL_301,SEQ_1199,KA I RO,1,3,ZA 8,1
CL_025,SEQ_120,KU PA,3,2,"HT 110,KH 29,ZA 11",3
CL_059,SEQ_1200,KA NU TI,1,3,HT 97,1
CL_082,SEQ_1201,KA PA QE,1,3,HT 6,1
CL_008,SEQ_1202,KA PO RU,1,3,HT 115,1
CL_060,SEQ_1203,KA RI I,1,3,HT 98,1
CL_111,SEQ_1204,KA RO NA,1,3,HT 11,1
CL_008,SEQ_1205,KA SA RU,1,3,HT 10,1
CL_302,SEQ_1206,KA TA RE[,1,3,KH 41,1
CL_303,SEQ_1207,KE KI RU,1,3,HT 94,1
CL_002,SEQ_1208,KI DA TA,1,3,HT 40,1
CL_304,SEQ_1209,KI DI NI,1,3,HT 93,1
CL_112,SEQ_121,KU RA,3,2,"ARKH 2,HT8,ZA 20",3
CL_305,SEQ_1210,KI MA RU[,1,3,HT 24,1
CL_306,SEQ_1211,KI MI RA2,1,3,HT 54,1
CL_307,SEQ_1212,KI NI MA,1,3,ZA 5,1
CL_009,SEQ_1213,KI RE ZA,1,3,ZA 1,1
CL_009,SEQ_1214,KI RI SI,1,3,TY 3,1
