prefix,length,count,artifact_count,artifacts
QA [?] PU,3,8,7,"HT 12,HT 23,HT 30,HT 32,HT 34,HT 35,HT 60"
AB08 AB60,2,8,8,"ARKH 1A,HT 1,HT 109,HT 122B,HT 87,KH 5,KH 79 89,ZA 7A"
AB28 AB76,2,8,8,"HT WA 1006,HT WA 1007,HT WA 1008,HT WA 1009,HT WA 1010,HT WA 1011,HT WA 1012,HT WA 1013"
KI RO,2,8,8,"HT 123 124,HT 15,HT 30,HT 34,HT 37,HT 55,HT 88,HT 94"
OLE MI,2,8,8,"HT 100,HT 101,HT 137,HT 28,HT 50,HT 90,HT 91,TY 3"
A306,1,8,8,"HT 115B,HT 119,HT 122A,HT 122B,HT 9A,HT 9B,KH 21,KH 47"
DESUNT,1,8,8,"HT 154,HT 23,HT 47,HT 52,TY 3,ZA 16,ZA 5,ZA 7"
E,1,8,7,"HT 33,HT 34,KH 7,NOTES TO HT ZD 155 157,PE 1,ZA 1,ZA 11"
AB81 AB56 AB55,3,7,7,"HT 1,HT 117A,HT 122A,HT 3,HT 49A,HT 88,PH 31A"
KU PA3 NU,3,7,6,"HT 1,HT 117,HT 122,HT 49,HT 88,PH 31"
MI JA RU,3,7,7,"HT 23,HT 32,HT 34,HT 35,HT 81,KH 12,KH 60"
QA [?] RE,3,7,6,"HT 23,HT 32,HT 33,HT 34,HT 45,HT 60"
A RI,2,7,7,"HT 118,HT 141,HT 25,PE 2,PH 28,PH 6,ZA 8"
AB07 AB06,2,7,7,"HT 108,HT 16,HT 25A,HT 3,HT 9A,HT 9B,KH 59"
AB08 AB41,2,7,7,"ARKH 2,HT 28A,HT 28B,HT 9B,KH 20,KH 9,KH 99"
AB81 AB03,2,7,7,"HT 110A,HT 116A,HT WA 1020,KH 29,KH 5,ZA 11A,ZA 11B"
AB81 AB30,2,7,7,"HT 10A,HT 79 83,HT 86A,HT 86B,HT 95A,HT 95B,KH 92"
DA RE,2,7,7,"HT 10,HT 122,HT 7,HT 85,HT 93,PK 3,ZA 18"
I [?],2,7,7,"HT 154,HT 96,KH 12,KH WC 2066,KH WC 2070,ZA 1,ZA 11"
KI RE,2,7,7,"HT 108,HT 120,HT 129,HT 37,HT 8,HT 85,ZA 1"
MA RU,2,7,6,"HT 117,HT 12,HT 24,HT12,KH 43,PH 3"
PA TA,2,7,3,"HT 122,HT 94,PH 31"
AB45,1,7,7,"ARKH 4A,ARKH 4B,HT 11B,HT 93A,HT 94B,HT 97A,KH 100"
AB46,1,7,7,"HT 122B,HT 140,HT 36,HT 8A,HT WA 1020,KH 1,KH 50"
PU,1,7,7,"HT 116,HT 123 124,HT 139,HT 14,HT 28,KH 88,ZA 14"
RE,1,7,7,"HT 125,HT 13,HT 42 59,HT 85,HT 88,KH 86,MA 2"
RI,1,7,6,"HT 115,HT 118,HT 119,HT 146,KH 6,PH 31"
VIN,1,7,2,"HT9,PH 31"
WI,1,7,6,"HT 25,HT 28,HT 5,KH 43,KH 5,ZA 9"
ZU,1,7,7,"ARKH 2,HT 1,HT 101,HT 25,HT 51,HT 66,HT 99"
A SI,2,6,5,"ARKH 2,HT 28,HT 9,KH 20,KH 9"
AB01 AB27,2,6,6,"HT 10A,HT 10B,HT 122B,HT 7A,HT 85A,ZA 18A"
AB03 AB59,2,6,6,"HT 31,HT 94B,HT WA 1019,HT ZB 160,KH 79 89,PH 31A"
