suffix,length,count,artifact_count,artifacts
VIR,1,13,13,"HT 105,HT 108,HT 119,HT 25,HT 26,HT 27,HT 66,HT 7,HT 93,HT 94,HT WC 3022,PE 1,TY 2"
OLE U,2,12,12,"HT 100,HT 101,HT 125,HT 140,HT 2,HT 21,HT 28,HT 44,HT 58,HT 91,HT 96,TY 3"
AB45,1,12,12,"HT 113,HT 122A,HT 86B,HT 98A,HT 9A,HT 9B,KH 100,KH 88,KH 99,PH 30,ZA 10B,ZA 11B"
ME,1,12,11,"HT 120,HT 127,HT 128,HT 23,HT 24,HT 26,HT 86,HT 95,PE 2,PS ZA 2,TY 3"
A,1,11,11,"ARKH 4,HT 100,HT 15,HT 2,HT 38,HT 39,HT 94,KH 83,KH 9,MA 10,PH 3"
AB78,1,11,11,"HT 146,HT 27A,HT 31,HT 37,HT 54A,HT 55B,HT 62 73,HT 6A,HT WC 3014B,KH 50,ZA 14"
KI RO,2,10,10,"ARKH 4,HT 1,HT 123 124,HT 15,HT 30,HT 34,HT 37,HT 55,HT 88,HT 94"
AB31,1,10,10,"HT 113,HT 123B,HT 31,HT 56A,HT 70,HT 96A,KE 1,KH 6,PH 16B,ZA 15A"
AB39,1,10,10,"ARKH 1A,ARKH 3B,HT 126A,HT 47A,KH 18,KN WC 26B,KN ZE 16,TY 2,ZA 14,ZA 21A"
AB40,1,10,9,"HT 115A,HT 115B,HT 25A,KH 37,KN ZB 35,MA 1A,SY ZA 4,ZA 14,ZA10"
AB50,1,10,9,"HT 23B,HT 31,HT 87,HT 9A,HT 9B,HT ZB 161,KN 32B,MI 2,TY 2"
AB56,1,10,9,"ARKH 1B,HT 101,HT 115A,HT 31,HT 79 83,HT 88,KN 22B,KN ZB 20,PH 2"
AB66,1,10,10,"HT 103,HT 114A,HT 121,HT 122B,HT 129,HT 137,HT 85B,HT 90,ZA 11A,ZA 6B"
KU,1,10,10,"HT 128,HT 34,HT 35,HT 38,HT 61,HT 62 73,HT 87,HT 93,MA 2,PH 31"
OLIV,1,10,10,"ARKH 3,HT 101,HT 123 124,HT 21,HT 44,HT 58,HT 91,HT12,ZA 11,ZA 18"
PA3,1,10,9,"HT 101,HT 103,HT 31,HT 34,HT 88,HT 9,HT8,KN 22,PH 2"
SA,1,10,9,"HT 111,HT 113,HT 123 124,HT 131,HT 27,HT 70,HT 96,KE 1,ZA 15"
TA2,1,10,10,"HT 103,HT 11,HT 114,HT 121,HT 122,HT 125,HT 129,HT 85,HT 90,KH 9"
AB01 AB27,2,9,8,"HT 10A,HT 10B,HT 117A,HT 122A,HT 122B,HT 17,HT 7A,HT 85A"
DA RE,2,9,7,"HT 10,HT 117,HT 122,HT 17,HT 7,HT 85,PK 3"
JA RU,2,9,9,"HT 23,HT 32,HT 34,HT 35,HT 6,HT 81,KH 12,KH 36,KH 60"
OLE KI,2,9,9,"HT 101,HT 140,HT 18,HT 28,HT 50,HT 8,HT 91,TY 3,ZA 18"
AB13,1,9,9,"HT 120,HT 128A,HT 23A,HT 86A,HT 95A,KH 7A,PS ZA 2,ZA 21A,ZA 21B"
AB79,1,9,9,"ARKH 4B,HT 102,HT 63,HT 79 83,KH 5,KH 91,KN ZC 6,PH 13C,TY 3B"
QE,1,9,8,"HT 101,HT 18,HT 28,HT 31,HT 33,HT 6,HT 89,ZA 14"
]FIC,1,9,9,"HT 110,HT 111,HT 131,HT 154E,HT 44,HT 96,KH 17,KH 30,KH 8"
MI JA RU,3,8,8,"HT 23,HT 32,HT 34,HT 35,HT 81,KH 12,KH 36,KH 60"
AB08 AB51,2,8,8,"HT 133,HT 85A,HT 86A,HT 88,HT 92,HT 95B,HT 99A,KH 23"
AB28 AB76,2,8,8,"HT WA 1006,HT WA 1007,HT WA 1008,HT WA 1009,HT WA 1010,HT WA 1011,HT WA 1012,HT WA 1013"
AB81 AB03,2,8,8,"HT 110A,HT 16,HT WA 1020,HT WC 3015A,HT WC 3016A,KH 29,ZA 11A,ZA 11B"
OLE MI,2,8,8,"HT 100,HT 101,HT 137,HT 28,HT 50,HT 90,HT 91,TY 3"
PA3 NU,2,8,7,"HT 1,HT 117,HT 122,HT 3,HT 49,HT 88,PH 31"
DESUNT,1,8,8,"HT 154,HT 23,HT 47,HT 52,TY 3,ZA 16,ZA 5,ZA 7"
AB81 AB56 AB55,3,7,7,"HT 1,HT 117A,HT 122A,HT 3,HT 49A,HT 88,PH 31A"
KU PA3 NU,3,7,6,"HT 1,HT 117,HT 122,HT 49,HT 88,PH 31"
QA [?] PU,3,7,7,"HT 12,HT 23,HT 30,HT 32,HT 34,HT 35,HT 60"
A DU,2,7,7,"HT 133,HT 85,HT 86,HT 88,HT 92,HT 95,HT 99"
AB31 AB26,2,7,7,"HT 10B,HT 123A,HT 86A,HT 86B,HT 94B,HT 95A,HT 95B"
AB56 AB55,2,7,7,"HT 1,HT 117A,HT 122A,HT 3,HT 49A,HT 88,PH 31A"
I [?],2,7,7,"HT 118,HT 154,KH 12,KH WC 2066,KH WC 2070,ZA 1,ZA 11"
